min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1737,0,1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,21,21,22,22,23,23,24,24,25,25,26,26,27,27,28,28,29,29,30,30,31,31,32,32,33,33,34,34,35,35,36,36,37,37,38,38,39,39,40,40,41,41,42,42,43,43,44,44,45,45,46,46,47,47,48,48,49,49,50,50,51,51,52,52,53,53,54,54,55,55,56,56,57,57,58,58,59,59,60,60,61,61,62,62,63,63,64,64,65,65,66,66,67,67,68,68,69,69,70,70,71,71,72,72,73,73,74,74,75,75,76,76,77,77,78,78,79,79,80,80,81,81,82,82,83,83,84,84,85,85,86,86,87,87,88,88,89,89,90,90,91,91,92,92,93,93,94,94,95,95,96,96,97,97,98,98,99,99,100,100,101,101,102,102,103,103,104,104,105,105,106,106,107,107,108,108,109,109,110,110,111,111,112,112,113,113,114,114,115,115,116,116,117,117,118,118,119,119,120,120
num-ped,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,
num-plow,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
building-type-to-make,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,,Other,
show-walkability?,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
snow-plow?,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,
speed-snow,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,
speed-plow,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,
snowed?,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,
speed-ped,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,
plow-strategy,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-less-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,,clean-more-walked,
speed-walkable-snow,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,
reroute-p-when-snow,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,
faster-threshold,10,,10,,10,,10,,10,,100,,100,,100,,100,,100,,500,,500,,500,,500,,500,,10,,10,,10,,10,,10,,100,,100,,100,,100,,100,,500,,500,,500,,500,,500,,10,,10,,10,,10,,10,,100,,100,,100,,100,,100,,500,,500,,500,,500,,500,,10,,10,,10,,10,,10,,100,,100,,100,,100,,100,,500,,500,,500,,500,,500,,10,,10,,10,,10,,10,,100,,100,,100,,100,,100,,500,,500,,500,,500,,500,,10,,10,,10,,10,,10,,100,,100,,100,,100,,100,,500,,500,,500,,500,,500,,10,,10,,10,,10,,10,,100,,100,,100,,100,,100,,500,,500,,500,,500,,500,,10,,10,,10,,10,,10,,100,,100,,100,,100,,100,,500,,500,,500,,500,,500,
[reporter],[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time
[final],10000,53.59,10000,50.04,10000,45.27,10000,55.68,10000,51.89,10000,53.63,10000,64.88,10000,51.73,10000,74.13,10000,53.68,10000,58.61,10000,253.24,10000,49.87,10000,57.92,10000,58.04,10000,47.47,10000,51.72,10000,44.95,10000,60.87,10000,51.68,10000,47.71,10000,57.29,10000,51.55,10000,51.68,10000,64.31,10000,53.06,10000,152.38,10000,89.63,10000,47.8,10000,60.02,10000,49.14,10000,48.21,10000,44.89,10000,53.48,10000,48.97,10000,51.49,10000,125.22,10000,53.4,10000,74.98,10000,48.92,10000,60.16,10000,73.89,10000,63.32,10000,122.99,10000,51.8,10000,52.67,10000,52.27,10000,47.89,10000,54.96,10000,45.05,10000,96.3,10000,50.59,10000,51.56,10000,47.2,10000,53.07,10000,161.35,10000,50.14,10000,108.44,10000,50.93,10000,81.48,10000,53.24,10000,55.28,10000,56.45,10000,53.67,10000,49.71,10000,58.87,10000,54.82,10000,59.16,10000,49.98,10000,46.3,10000,51.79,10000,54.49,10000,49.82,10000,55.76,10000,55.73,10000,45.9,10000,56.42,10000,48.62,10000,49.47,10000,55.27,10000,50.67,10000,53.1,10000,45.8,10000,48.97,10000,48.11,10000,50.58,10000,52.59,10000,59.64,10000,50.37,10000,53.17,10000,57.05,10000,58.27,10000,51.43,10000,49.15,10000,50.86,10000,49.07,10000,45.78,10000,51.98,10000,55.93,10000,53.23,10000,45.67,10000,52.17,10000,51.65,10000,41.24,10000,53.89,10000,48.43,10000,51.01,10000,48.73,10000,52.06,10000,53.56,10000,51.98,10000,50.05,10000,57.63,10000,47.45,10000,50.07,10000,44.72,10000,52.18,10000,46.28,10000,51.5,10000,52.99
[min],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
